locationId,location,parameter,pm25_value,unit,country,latitude,longitude,datetime_utc
385,Newburgh,pm25,4.4,µg/m³,US,41.4994,-74.0097,2024-12-21 01:00:00+00:00
384,CCNY,pm25,7.6,µg/m³,US,40.8197,-73.9481,2024-12-21 04:00:00+00:00
384,CCNY,pm25,7,µg/m³,US,40.8197,-73.9481,2024-12-21 03:00:00+00:00
384,CCNY,pm25,4.8,µg/m³,US,40.8197,-73.9481,2024-12-21 02:00:00+00:00
384,CCNY,pm25,4.8,µg/m³,US,40.8197,-73.9481,2024-12-21 01:00:00+00:00
390,RED DEER RIVERSIDE D,pm25,24.9,µg/m³,CA,52.2989,-113.7942,2024-12-21 04:00:00+00:00
390,RED DEER RIVERSIDE D,pm25,24.7,µg/m³,CA,52.2989,-113.7942,2024-12-21 03:00:00+00:00
390,RED DEER RIVERSIDE D,pm25,24,µg/m³,CA,52.2989,-113.7942,2024-12-21 02:00:00+00:00
390,RED DEER RIVERSIDE D,pm25,23.5,µg/m³,CA,52.2989,-113.7942,2024-12-21 01:00:00+00:00
381,Rockland Cty,pm25,3.8,µg/m³,US,41.182079,-74.028191,2024-12-21 04:00:00+00:00
381,Rockland Cty,pm25,5.6,µg/m³,US,41.182079,-74.028191,2024-12-21 03:00:00+00:00
